PrimeNet;janvier;février;mars;avril;mai;juin;juillet;août;septembre;Target
25927929;6404621;1929838;2096125;1850821;2997533;3128749;3145393;2166736;1779912;1
79305136;8774681;5834415;6202264;4929995;5226102;6886648;6566769;4531016;5560653;1
44820090;3490392;2385778;3849101;1706544;2439946;3251599;2952642;2591374;2364039;0
17875852;783779;468492;711750;921256;675813;702428;467882;273779;623602;0
17407232;547615;643470;644765;1854711;1323216;801163;1237162;1242581;589061;1
5079048;45795;497435;131095;68370;166220;290401;407032;86485;120845;0
21616535;727179;910924;1044710;696612;361165;887775;494139;382724;1379750;0
936294;43710;57315;65475;54800;269910;21745;94145;106980;244130;1
5439275;167305;317800;180715;115550;414105;269860;173609;34125;636080;0
48096118;2583541;2711560;3185125;2418291;3343669;3164164;3985534;2937632;2742141;1
3207713;341234;538495;10000;85835;108365;146835;40730;120195;53655;0
2673000;571791;207313;165360;306940;371200;143790;376792;799190;153170;1
81472686;4857607;5705155;4635510;6052978;7177929;5529165;6386655;6632776;3942110;1
16757778;2430526;2837601;3297201;4227166;4605014;2918794;3111666;2058538;2400694;1
29420237;2312809;779437;855577;923835;916594;712551;873426;1258875;1344537;0
104829859;3409673;3039030;5093401;3820506;4648887;3832069;5845149;4322548;6451271;0
7637977;1192503;1884624;2264863;939485;494130;235825;1650305;763860;695011;1
172073699;12515519;9224560;10576556;8435944;10490856;10292483;10174734;9208678;9644429;0
14869071;115681;322316;329561;170657;387626;288808;344789;119872;235705;0
13305675;647233;537998;507276;220152;278790;225437;453196;422680;251943;0
4038524;84690;53930;71020;669890;677920;382390;211510;841826;138010;1
29059607;2218897;1510398;1461846;1643811;2174441;839850;778926;1670552;1318555;0
6741487;281956;256722;475172;562632;541350;113848;418804;395680;162252;0
3712035;366091;120940;170395;611758;611740;134260;250625;178085;131155;1
11970656;272360;706088;257300;782077;198900;538940;259168;301243;223832;0
54465390;3646332;3236940;4139111;5193709;5313065;4518393;7192994;5215454;4108463;1
112051270;6160888;4398002;5783294;4137893;5234636;6151664;4396388;5848013;4022755;0
7276292;611548;212530;674049;604835;258240;179317;467245;142497;228410;0
30321056;1723098;1526092;2895963;1563123;2211593;2425039;1759369;1212704;1981979;1
5733809;30620;201560;127275;575087;156255;43050;226020;147025;15350;0
10024276;509240;771264;777790;838064;705989;1003210;822646;837746;381400;1
55101385;6782149;7030182;7652514;4438458;6737453;8147611;11547931;8012395;6414738;1
7754329;69490;287559;232999;89135;164563;155040;238408;104378;587238;0
2369731;152476;41850;899918;150134;608785;120676;306876;23265;104112;1
16079500;352308;532680;493748;393108;1001977;852318;958858;2330465;798782;0
